	S907952	S297173	S755152	S322436	S180159	S397962	S320153	S860705	S542621	S550091	S122533	S687954	S596784	S806900	S126681	S339874	S978384	S158849	S310609	S386171	S533481	S412349	S220693	S633123	S496329	S738524	S666345	S410787	S712851	S838832	S223646	S904423	S703818	S484957	S209496	S876474	S275605	S744675	S516615	S988627	S956728	S129333	S187277	S559158	S118035	S981991	S697982	S664352	S890778	S342081	S632380	S367695	S828813	S978393	S868360	S603554
S907952	0	9	4	4	10	8	7	9	5	8	9	9	7	9	7	6	9	8	9	7	7	10	67	8	9	7	6	9	8	8	7	6	9	9	10	8	5	9	5	6	4	5	4	5	10	10	8	10	6	7	5	4	8	10	6	7
S297173	9	0	5	5	11	9	8	10	6	9	10	10	8	10	8	7	10	9	10	8	8	11	68	9	10	8	7	10	9	9	8	7	10	10	11	9	6	10	6	7	5	6	5	6	11	11	9	11	7	8	6	5	9	11	7	8
S755152	4	5	0	0	6	4	3	5	1	4	5	5	3	5	3	2	5	4	5	3	3	6	63	4	5	3	2	5	4	4	3	2	5	5	6	4	1	5	1	2	0	1	0	1	6	6	4	6	2	3	1	0	4	6	2	3
S322436	4	5	0	0	6	4	3	5	1	4	5	5	3	5	3	2	5	4	5	3	3	6	63	4	5	3	2	5	4	4	3	2	5	5	6	4	1	5	1	2	0	1	0	1	6	6	4	6	2	3	1	0	4	6	2	3
S180159	10	11	6	6	0	10	9	3	7	2	11	3	9	3	9	8	3	10	3	9	9	4	69	10	3	9	8	11	10	10	9	8	11	11	4	10	7	11	7	8	6	7	6	7	4	4	2	4	8	9	7	6	10	4	8	9
S397962	8	9	4	4	10	0	7	9	5	8	9	9	7	9	7	6	9	8	9	7	7	10	67	8	9	7	6	9	8	8	7	6	9	9	10	8	5	9	5	6	4	5	4	5	10	10	8	10	6	7	5	4	8	10	6	7
S320153	7	8	3	3	9	7	0	8	4	7	8	8	6	8	6	5	8	7	8	6	6	9	66	7	8	6	5	8	7	7	6	5	8	8	9	7	4	8	4	5	3	4	3	4	9	9	7	9	5	6	4	3	7	9	5	6
S860705	9	10	5	5	3	9	8	0	6	1	10	2	8	2	8	7	2	9	2	8	8	3	68	9	2	8	7	10	9	9	8	7	10	10	3	9	6	10	6	7	5	6	5	6	3	3	1	3	7	8	6	5	9	3	7	8
S542621	5	6	1	1	7	5	4	6	0	5	6	6	4	6	4	3	6	5	6	4	4	7	64	5	6	4	3	6	5	5	4	3	6	6	7	5	2	6	2	3	1	2	1	2	7	7	5	7	3	4	2	1	5	7	3	4
S550091	8	9	4	4	2	8	7	1	5	0	9	1	7	1	7	6	1	8	1	7	7	2	67	8	1	7	6	9	8	8	7	6	9	9	2	8	5	9	5	6	4	5	4	5	2	2	0	2	6	7	5	4	8	2	6	7
S122533	9	10	5	5	11	9	8	10	6	9	0	10	8	10	8	7	10	9	10	8	8	11	68	9	10	8	7	10	9	9	8	7	10	10	11	9	6	10	6	7	5	6	5	6	11	11	9	11	7	8	6	5	9	11	7	8
S687954	9	10	5	5	3	9	8	2	6	1	10	0	8	2	8	7	2	9	2	8	8	3	68	9	2	8	7	10	9	9	8	7	10	10	3	9	6	10	6	7	5	6	5	6	3	3	1	3	7	8	6	5	9	3	7	8
S596784	7	8	3	3	9	7	6	8	4	7	8	8	0	8	6	5	8	7	8	6	6	9	66	7	8	6	5	8	7	7	6	5	8	8	9	7	4	8	4	5	3	4	3	4	9	9	7	9	5	6	4	3	7	9	5	6
S806900	9	10	5	5	3	9	8	2	6	1	10	2	8	0	8	7	2	9	2	8	8	3	68	9	2	8	7	10	9	9	8	7	10	10	3	9	6	10	6	7	5	6	5	6	3	3	1	3	7	8	6	5	9	3	7	8
S126681	7	8	3	3	9	7	6	8	4	7	8	8	6	8	0	5	8	7	8	6	6	9	66	7	8	6	5	8	7	7	6	5	8	8	9	7	4	8	4	5	3	4	3	4	9	9	7	9	5	6	4	3	7	9	5	6
S339874	6	7	2	2	8	6	5	7	3	6	7	7	5	7	5	0	7	6	7	5	5	8	65	6	7	5	4	7	6	6	5	4	7	7	8	6	3	7	3	4	2	3	2	3	8	8	6	8	4	5	3	2	6	8	4	5
S978384	9	10	5	5	3	9	8	2	6	1	10	2	8	2	8	7	0	9	2	8	8	3	68	9	2	8	7	10	9	9	8	7	10	10	3	9	6	10	6	7	5	6	5	6	3	3	1	3	7	8	6	5	9	3	7	8
S158849	8	9	4	4	10	8	7	9	5	8	9	9	7	9	7	6	9	0	9	7	7	10	67	8	9	7	6	9	8	8	7	6	9	9	10	8	5	9	5	6	4	5	4	5	10	10	8	10	6	7	5	4	8	10	6	7
S310609	9	10	5	5	3	9	8	2	6	1	10	2	8	2	8	7	2	9	0	8	8	3	68	9	2	8	7	10	9	9	8	7	10	10	3	9	6	10	6	7	5	6	5	6	3	3	1	3	7	8	6	5	9	3	7	8
