id,sublineage,total_snps
S907952,SUBLIN-A,1
S297173,SUBLIN-A,1
S755152,SUBLIN-A,2
S322436,SUBLIN-A,0
S180159,SUBLIN-B,0
S397962,SUBLIN-A,2
S320153,SUBLIN-A,2
S860705,SUBLIN-B,0
S542621,SUBLIN-A,1
S550091,SUBLIN-B,0
S122533,SUBLIN-A,2
S687954,SUBLIN-B,1
S596784,SUBLIN-A,1
S806900,SUBLIN-B,2
S126681,SUBLIN-A,1
S339874,SUBLIN-A,2
S978384,SUBLIN-B,1
S158849,SUBLIN-A,2
S310609,SUBLIN-B,1
S386171,SUBLIN-A,0
S533481,SUBLIN-A,1
S412349,SUBLIN-B,1
S220693,OTHER-1,0
S633123,SUBLIN-A,1
S496329,SUBLIN-B,1
S738524,SUBLIN-A,0
S666345,SUBLIN-A,2
S410787,SUBLIN-A,1
S712851,SUBLIN-A,2
S838832,SUBLIN-A,0
S223646,SUBLIN-A,0
S904423,SUBLIN-A,2
S703818,SUBLIN-A,1
S484957,SUBLIN-A,2
S209496,SUBLIN-B,0
S876474,SUBLIN-A,2
S275605,SUBLIN-A,0
S744675,SUBLIN-A,0
S516615,SUBLIN-A,1
S988627,SUBLIN-A,1
S956728,SUBLIN-A,1
S129333,SUBLIN-A,2
S187277,SUBLIN-A,1
S559158,SUBLIN-A,0
S118035,SUBLIN-B,2
S981991,SUBLIN-B,0
S697982,SUBLIN-B,0
S664352,SUBLIN-B,1
S890778,SUBLIN-A,0
S342081,SUBLIN-A,0
S632380,SUBLIN-A,2
S367695,SUBLIN-A,1
S828813,SUBLIN-A,2
S978393,SUBLIN-B,2
S868360,SUBLIN-A,1
S603554,SUBLIN-A,2
